,Year,Month,State,Location,Food,Species,Illnesses,Hospitalizations,Fatalities
3,1998,January,California,Restaurant,"Fish, Ahi",Scombroid toxin,4,0.0,0.0
4,1998,January,California,Private Home/Residence,"Lasagna, Unspecified; Eggs, Other",Salmonella enterica,26,3.0,0.0
7,1998,January,California,Restaurant,"Stuffing, Unspecified; Sandwich, Turkey",Salmonella enterica,4,3.0,0.0
15,1998,January,Florida,Restaurant,"Ethnic Style, Unspecified",Clostridium perfringens,3,0.0,0.0
17,1998,January,Florida,Restaurant,"Ground Beef, Cheeseburger",Staphylococcus aureus,2,0.0,0.0
18,1998,January,Florida,Restaurant,"Pasta, Unspecified",Bacillus cereus,2,0.0,0.0
19,1998,January,Florida,Restaurant,"Sauces, Unspecified; Tuna, Unspecified",Scombroid toxin,2,2.0,0.0
20,1998,January,Florida,Restaurant,"Sandwich, Chicken",Campylobacter unknown,3,1.0,0.0
22,1998,January,Florida,Restaurant,"Chicken, Fried",Bacillus cereus,5,0.0,0.0
33,1998,January,Guam,Restaurant,"Chicken, Unspecified",Vibrio parahaemolyticus,47,0.0,0.0
34,1998,January,Hawaii,Private Home/Residence,"Fish, Grouper, Unspecified",Ciguatoxin,3,0.0,0.0
35,1998,January,Hawaii,Private Home/Residence,"Fish, Mahi Mahi",Scombroid toxin,2,0.0,0.0
36,1998,January,Hawaii,Restaurant,"Fish, Ahi",Scombroid toxin,2,0.0,0.0
42,1998,January,Maryland,Restaurant,Chicken Salad,Clostridium perfringens,3,0.0,0.0
43,1998,January,Maryland,Restaurant,"Burrito, Chicken",Salmonella enterica,4,0.0,0.0
49,1998,January,Maryland,Restaurant,"Cake, Tiramisu; Eggs, Other",Salmonella enterica,8,0.0,0.0
50,1998,January,Maryland,Private Home/Residence,Chicken Salad,Salmonella enterica,5,1.0,0.0
51,1998,January,Maryland,Restaurant,Chicken Fried Rice,Clostridium perfringens,4,0.0,0.0
53,1998,January,Massachusetts,Restaurant,"Dips, Unspecified",Shigella sonnei,79,6.0,0.0
69,1998,January,Multistate,Private Home/Residence,"Eggnog, Homemade",Salmonella enterica,4,0.0,0.0
80,1998,January,Oregon,,"Homemade Cheese, Unspecified",Salmonella enterica,8,0.0,0.0
82,1998,January,Pennsylvania,Restaurant; Catering Service,"Pasta, Unspecified; Meatballs",Salmonella enterica,4,2.0,0.0
89,1998,January,Wisconsin,Catering Service,"Beef, Unspecified",Clostridium perfringens,34,0.0,0.0
90,1998,February,California,Restaurant,"Enchilada, Chicken",Salmonella enterica,10,1.0,0.0
92,1998,February,Colorado,Restaurant,"Refried Beans, Unspecified; Peppers, Chili",Clostridium perfringens,10,0.0,0.0
96,1998,February,Florida,Restaurant,"Stir-Fry, Unspecified; Lettuce-Based Salads Unspecified",Norovirus genogroup I,39,0.0,0.0
97,1998,February,Florida,Restaurant,"Pork, Bbq; Beans, Baked",Clostridium perfringens,3,0.0,0.0
99,1998,February,Florida,Restaurant,"Beef, Other",Clostridium perfringens,3,0.0,0.0
103,1998,February,Florida,Catering Service,"Stir-Fry, Unspecified; Caesar Salad",Norovirus genogroup I,35,1.0,
104,1998,February,Florida,,"Burrito, Unspecified",Staphylococcus aureus,18,0.0,0.0
110,1998,February,Florida,,"Ethnic Style, Unspecified",Bacillus cereus,4,0.0,0.0
112,1998,February,Florida,Catering Service,"Rice, Unspecified",Bacillus cereus,50,1.0,0.0
114,1998,February,Florida,Restaurant,"Rice, Unspecified",Bacillus cereus,43,0.0,0.0
115,1998,February,Florida,Restaurant,"Cream Sauce, Unspecified",Bacillus cereus,15,0.0,0.0
120,1998,February,Indiana,,Macaroni Salad,Staphylococcus aureus,101,0.0,0.0
137,1998,February,Minnesota,School/College/University,"Ground Beef, Unspecified",Clostridium perfringens; Staphylococcus aureus,16,0.0,0.0
